word,freq,verb_prob
snip,2.5422604748500434e-05,0.8369565217391305
serve,2.5238382974960577e-05,0.708029197080292
spread,2.4685717654341e-05,0.7388059701492538
quit,2.4133052333721426e-05,0.7595419847328244
rid,2.3764608786641712e-05,0.9883720930232558
prefer,2.3119832579252208e-05,0.9721115537848606
boing,2.265927814540256e-05,0.7154471544715447
explain,2.2106612824782986e-05,0.8833333333333333
realize,2.1461836617393483e-05,0.8969957081545065
snuggle,2.1277614843853625e-05,0.7878787878787878
bumble,2.0356505976154332e-05,0.9592760180995475
trade,2.0172284202614475e-05,0.7214611872146118
borrow,1.8330066467215892e-05,0.8693467336683417
imagine,1.7132624939206813e-05,0.9032258064516129
connect,1.67641813921271e-05,0.7142857142857143
breathe,1.67641813921271e-05,0.7472527472527473
protect,1.5935183411197738e-05,0.7861271676300579
weigh,1.556673986411802e-05,0.7514792899408284
ruin,1.5382518090578163e-05,0.6646706586826348
raise,1.4645630996418728e-05,0.6163522012578616
rinse,1.45535201096488e-05,0.7151898734177216
tuck,1.4277187449339012e-05,0.7483870967741936
join,1.4277187449339012e-05,0.8903225806451613
cant,1.4092965675799153e-05,0.6209150326797386
expect,1.3632411241949508e-05,0.7635135135135135
split,1.344818946840965e-05,0.6301369863013698
agree,1.335607858163972e-05,0.7586206896551724
bury,1.335607858163972e-05,0.6413793103448275
munch,1.3263967694869792e-05,0.7777777777777778
shoo,1.2895524147790076e-05,0.8071428571428572
seek,1.2619191487480288e-05,0.9197080291970803
relax,1.252708060071036e-05,0.7794117647058824
straighten,1.252708060071036e-05,0.8308823529411765
depend,1.23428588271705e-05,0.8656716417910447
mention,1.2250747940400572e-05,0.6766917293233082
diddle,1.2250747940400572e-05,0.8872180451127819
smack,1.142174995947121e-05,0.8306451612903226
sniff,1.132963907270128e-05,0.8048780487804879
bam,1.1237528185931352e-05,0.6721311475409836
bust,1.1145417299161422e-05,0.6198347107438017
collect,1.0869084638851636e-05,0.635593220338983
stomp,1.0869084638851636e-05,0.7457627118644068
bleep,1.0592751978541848e-05,0.7913043478260869
dare,1.0500641091771918e-05,0.6228070175438597
gasp,1.0500641091771918e-05,0.9473684210526315
tend,1.040853020500199e-05,0.9203539823008849
operate,1.0040086657922273e-05,0.6055045871559633
offer,1.0040086657922273e-05,0.6146788990825688
plop,9.855864884382414e-06,0.9345794392523364
wrestle,9.855864884382414e-06,0.6261682242990654
dribble,9.855864884382414e-06,0.897196261682243
drown,9.671643110842557e-06,0.7142857142857143
twirl,9.487421337302698e-06,0.6504854368932039
ignore,9.21108867699291e-06,0.7
tighten,9.21108867699291e-06,0.8
destroy,9.026866903453053e-06,0.6632653061224489
clunk,8.934756016683125e-06,0.9175257731958762
blame,8.842645129913194e-06,0.7916666666666666
continue,8.750534243143266e-06,0.8315789473684211
behave,8.750534243143266e-06,0.7473684210526316
lower,8.658423356373337e-06,0.9148936170212766
doubt,8.658423356373337e-06,0.6063829787234043
splish,8.474201582833478e-06,0.7934782608695652
settle,8.474201582833478e-06,0.8369565217391305
rise,8.28997980929362e-06,0.7888888888888889
owe,8.19786892252369e-06,1.0
smush,7.921536262213903e-06,0.686046511627907
introduce,7.921536262213903e-06,0.813953488372093
grind,7.645203601904117e-06,0.6024096385542169
wag,7.5530927151341875e-06,0.6707317073170732
gather,7.3688709415943285e-06,0.7375
discover,7.2767600548244e-06,0.759493670886076
braid,6.908316507744684e-06,0.8933333333333333
purr,6.908316507744684e-06,0.8266666666666667
capture,6.816205620974754e-06,0.6891891891891891
huff,6.724094734204825e-06,0.6164383561643836
suggest,6.539872960664967e-06,0.8450704225352113
boink,6.539872960664967e-06,0.676056338028169
compare,6.17142941358525e-06,0.7611940298507462
dunk,6.079318526815322e-06,0.7878787878787878
appreciate,6.079318526815322e-06,0.9848484848484849
fasten,5.987207640045392e-06,0.8307692307692308
trust,5.895096753275463e-06,0.625
deserve,5.802985866505534e-06,0.9682539682539683
kneel,5.710874979735605e-06,0.7258064516129032
flake,5.526653206195747e-06,0.8833333333333333
wander,5.526653206195747e-06,0.6333333333333333
rent,5.434542319425818e-06,0.6271186440677966
